,Filename,Beta 1 Score,Turn Score,Beta 2 Score,Plddt,Plddt Target
3,relaxed_model_3_pred_6.pdb,0.0,0.785,0.0,61.557,64.378
40,relaxed_model_5_pred_6.pdb,0.0,0.223,0.0,60.359,62.939
9,relaxed_model_3_pred_0.pdb,0.0,0.485,0.0,60.345,62.979
8,relaxed_model_3_pred_1.pdb,0.0,0.793,0.0,59.652,62.082
0,relaxed_model_3_pred_4.pdb,0.0,0.785,0.0,59.644,62.092
7,relaxed_model_3_pred_3.pdb,0.0,0.785,0.0,59.449,61.714
6,relaxed_model_5_pred_8.pdb,0.0,0.793,0.0,59.306,61.276
4,relaxed_model_3_pred_2.pdb,0.0,0.785,0.0,59.143,61.616
2,relaxed_model_3_pred_7.pdb,0.0,1.0,0.0,58.776,60.802
1,relaxed_model_3_pred_5.pdb,0.0,0.785,0.0,58.088,60.141
43,relaxed_model_5_pred_4.pdb,0.0,1.0,0.0,57.734,59.725
42,relaxed_model_5_pred_5.pdb,0.0,0.793,0.0,57.647,59.805
28,relaxed_model_4_pred_9.pdb,0.354,0.393,0.225,57.335,60.115
11,relaxed_model_1_pred_5.pdb,0.0,0.793,0.0,57.315,59.412
36,relaxed_model_1_pred_9.pdb,0.0,0.393,0.0,57.284,59.914
22,relaxed_model_1_pred_2.pdb,0.0,0.685,0.0,57.108,59.563
19,relaxed_model_4_pred_2.pdb,0.394,0.808,0.204,56.648,59.525
39,relaxed_model_1_pred_8.pdb,0.0,0.892,0.0,56.554,58.628
26,relaxed_model_1_pred_1.pdb,0.0,0.892,0.0,56.545,58.731
45,relaxed_model_5_pred_1.pdb,0.0,1.0,0.0,56.445,58.276
18,relaxed_model_1_pred_7.pdb,0.0,0.393,0.0,56.209,58.326
10,relaxed_model_4_pred_0.pdb,0.394,0.808,0.256,56.004,58.881
25,relaxed_model_1_pred_0.pdb,0.0,0.685,0.0,55.87,58.432
12,relaxed_model_1_pred_4.pdb,0.0,0.892,0.0,55.864,57.659
44,relaxed_model_5_pred_0.pdb,0.0,1.0,0.0,55.852,57.711
21,relaxed_model_1_pred_3.pdb,0.0,1.0,0.0,55.732,57.829
32,relaxed_model_2_pred_1.pdb,0.085,0.693,0.091,55.451,58.868
46,relaxed_model_3_pred_8.pdb,0.0,0.485,0.0,55.322,56.502
41,relaxed_model_5_pred_7.pdb,0.0,0.579,0.0,55.228,57.214
15,relaxed_model_1_pred_6.pdb,0.0,0.0,0.0,55.157,57.349
48,relaxed_model_5_pred_2.pdb,0.0,1.0,0.0,54.88,56.865
34,relaxed_model_2_pred_4.pdb,0.0,0.0,0.0,54.496,57.588
27,relaxed_model_4_pred_4.pdb,0.0,0.657,0.0,54.235,57.228
47,relaxed_model_5_pred_3.pdb,0.0,0.793,0.0,54.028,55.643
38,relaxed_model_2_pred_6.pdb,0.0,0.685,0.0,53.612,55.975
30,relaxed_model_2_pred_3.pdb,0.0,0.364,0.0,53.562,56.047
49,relaxed_model_3_pred_9.pdb,0.0,0.0,0.0,53.393,54.482
35,relaxed_model_2_pred_5.pdb,0.0,0.579,0.0,53.347,56.081
17,relaxed_model_2_pred_9.pdb,0.0,0.0,0.0,53.226,55.67
23,relaxed_model_4_pred_7.pdb,0.0,0.808,0.0,53.184,56.468
33,relaxed_model_2_pred_0.pdb,0.0,0.685,0.0,53.087,55.671
16,relaxed_model_2_pred_8.pdb,0.0,0.685,0.0,52.899,55.359
20,relaxed_model_4_pred_6.pdb,0.0,0.808,0.0,52.817,55.741
14,relaxed_model_4_pred_3.pdb,0.0,0.393,0.0,52.62,55.796
13,relaxed_model_4_pred_1.pdb,0.0,0.393,0.0,52.605,55.435
37,relaxed_model_2_pred_7.pdb,0.0,0.685,0.0,52.561,55.179
29,relaxed_model_2_pred_2.pdb,0.0,0.793,0.0,52.504,54.664
24,relaxed_model_4_pred_5.pdb,0.0,0.693,0.0,51.374,54.567
31,relaxed_model_4_pred_8.pdb,0.0,0.808,0.0,51.356,55.187
5,relaxed_model_5_pred_9.pdb,0.0,1.0,0.0,51.129,52.586
